section_id,route_name,start_station,end_station,latitude,longitude,start_latitude,start_longitude,end_latitude,end_longitude,track_length_km,track_type,electrified,terrain,risk_level,defect_status,last_inspection_date,speed_limit_kmh,traffic_gmt_per_day
SEC-WR-301,BCT-ADI Mainline Trunk,Mumbai Central (MMCT),Virar (VR),19.2187,72.8124,18.9696,72.8194,19.4678,72.8054,59.0,Quadruple Broad Gauge,25kV AC 50Hz OHE,Coastal Mudflat & Saline,HIGH,Saline Atmospheric Rail Corrosion,2026-08-21,110,78
SEC-WR-302,BCT-ADI Mainline Trunk,Virar (VR),Dahanu Road (DRD),19.7206,72.7734,19.4678,72.8054,19.9734,72.7414,64.0,Double Broad Gauge,25kV AC 50Hz OHE,Coastal Lowland,LOW,Operational - Clear,2026-08-31,130,45
SEC-WR-303,BCT-ADI Mainline Trunk,Dahanu Road (DRD),Valsad (BL),20.2917,72.8357,19.9734,72.7414,20.61,72.93,75.0,Double Broad Gauge,25kV AC 50Hz OHE,Alluvial Coastal Strip,MEDIUM,Broken Concrete Sleeper at KM 168,2026-08-23,120,52
SEC-WR-304,BCT-ADI Mainline Trunk,Valsad (BL),Surat (ST),20.9074,72.8853,20.61,72.93,21.2049,72.8406,68.5,Double Broad Gauge,25kV AC 50Hz OHE,Industrial Alluvial Belt,LOW,Operational - Normal,2026-09-01,130,58
SEC-WR-305,BCT-ADI Mainline Trunk,Surat (ST),Vadodara Jn (BRC),21.7578,73.0109,21.2049,72.8406,22.3107,73.1812,129.0,Double Broad Gauge,25kV AC 50Hz OHE,Black Cotton Soil Basin,CRITICAL,Trackbed Subsidence & Subgrade Heave,2026-08-16,100,64
SEC-WR-306,BCT-ADI Mainline Trunk,Vadodara Jn (BRC),Ahmedabad Jn (ADI),22.6666,72.8763,22.3107,73.1812,23.0225,72.5714,99.0,Double Broad Gauge,25kV AC 50Hz OHE,Alluvial Gujarat Plains,LOW,Operational - Clear,2026-08-28,130,52
SEC-ER-401,HWH-NDLS Grand Chord,Howrah Jn (HWH),Barddhaman Jn (BWN),22.9081,88.1021,22.5839,88.3426,23.2324,87.8615,95.0,Triple Broad Gauge,25kV AC 50Hz OHE,Lower Gangetic Delta Plain,HIGH,Severe Subgrade Water Saturation,2026-08-19,110,74
SEC-ER-402,HWH-NDLS Grand Chord,Barddhaman Jn (BWN),Asansol Jn (ASN),23.4607,87.4138,23.2324,87.8615,23.6889,86.9661,106.0,Double Broad Gauge,25kV AC 50Hz OHE,Chota Nagpur Undulating Plateau,MEDIUM,Heavy Axle Wheel-Burn & Spalling,2026-08-25,110,82
SEC-ER-403,HWH-NDLS Grand Chord,Asansol Jn (ASN),Dhanbad Jn (DHN),23.7423,86.6983,23.6889,86.9661,23.7957,86.4304,58.0,Double Broad Gauge,25kV AC 50Hz OHE,Mining Coalfield Plateau,CRITICAL,Subterranean Mine Fire Embankment Instability,2026-08-14,75,90
SEC-SCR-501,SC-BZA High Density Trunk,Secunderabad Jn (SC),Kazipet Jn (KZJ),17.7092,79.0118,17.4399,78.5017,17.9784,79.5218,132.0,Double Broad Gauge,25kV AC 50Hz OHE,Telangana Granitic Plateau,LOW,Operational - Normal,2026-09-02,130,50
SEC-SCR-502,SC-BZA High Density Trunk,Kazipet Jn (KZJ),Khammam (KMT),17.6129,79.8366,17.9784,79.5218,17.2473,80.1514,118.0,Double Broad Gauge,25kV AC 50Hz OHE,Rolling Hills & Plain,MEDIUM,Worn Frog Point at Mahbubabad Crossover,2026-08-26,110,56
SEC-SCR-503,SC-BZA High Density Trunk,Khammam (KMT),Vijayawada Jn (BZA),16.883,80.3857,17.2473,80.1514,16.5186,80.62,104.0,Triple Broad Gauge,25kV AC 50Hz OHE,Krishna River Delta,CRITICAL,Krishna Riverbed Scour & Embankment Erosion,2026-08-17,90,76
SEC-SR-601,MAS-SBC Mainline Trunk,Chennai Central (MAS),Arakkonam Jn (AJJ),13.0808,79.9694,13.0827,80.2707,13.0788,79.6681,68.0,Quadruple Broad Gauge,25kV AC 50Hz OHE,Coastal Lowland Basin,HIGH,Heavy Ballast Voiding near Cooum Basin,2026-08-20,110,72
SEC-SR-602,MAS-SBC Mainline Trunk,Arakkonam Jn (AJJ),Katpadi Jn (KPD),13.0243,79.4003,13.0788,79.6681,12.9698,79.1325,62.0,Double Broad Gauge,25kV AC 50Hz OHE,Palar River Basin,LOW,Operational - Normal,2026-09-03,130,46
SEC-SR-603,MAS-SBC Mainline Trunk,Katpadi Jn (KPD),Jolarpettai Jn (JTJ),12.7706,78.8579,12.9698,79.1325,12.5714,78.5833,84.0,Double Broad Gauge,25kV AC 50Hz OHE,Javadi Hills Foot Zone,MEDIUM,Missing Elastic Rail Clips (KM 184),2026-08-27,110,54
SEC-KR-701,Konkan Coastal Spine,Roha (ROHA),Khed (KHED),18.0762,73.2511,18.4357,73.1189,17.7167,73.3833,112.0,Single Broad Gauge (Heavy Axle),25kV AC 50Hz OHE,Rugged Sahyadri Ghat Cuttings,CRITICAL,Deep Cutting Boulder Infiltration,2026-08-28,75,38
SEC-KR-702,Konkan Coastal Spine,Khed (KHED),Ratnagiri (RN),17.35,73.3583,17.7167,73.3833,16.9833,73.3333,94.0,Single Broad Gauge,25kV AC 50Hz OHE,Lateritic Plateau & Ravines,HIGH,Viaduct Bearing Displacement,2026-08-22,90,34
SEC-KR-703,Konkan Coastal Spine,Ratnagiri (RN),Madgaon Jn (MAO),16.1285,73.6457,16.9833,73.3333,15.2736,73.9581,236.0,Single Broad Gauge,25kV AC 50Hz OHE,Coastal Ghats / Zuari Estuary,MEDIUM,Tunnel Water Leakage & Silt Buildup,2026-08-25,100,32
SEC-NFR-801,Chicken's Neck Corridor,New Jalpaiguri (NJP),New Cooch Behar (NCB),26.5155,88.9569,26.6853,88.4419,26.3456,89.4719,124.0,Double Broad Gauge,25kV AC 50Hz OHE,Duars Sub-Himalayan Floodplain,HIGH,Teesta River High Water Scour Warning,2026-08-20,100,44
SEC-NFR-802,Brahmaputra Valley Trunk,New Cooch Behar (NCB),Guwahati (GHY),26.2639,90.6113,26.3456,89.4719,26.1822,91.7506,178.0,Double Broad Gauge,25kV AC 50Hz OHE,Brahmaputra Low Alluvium,CRITICAL,Embankment Slump & Ballast Washout,2026-08-16,80,42
